provider,fund_name,fund_type,fee_pct,return_1yr,return_5yr
INVESTNOW KIWISAVER SCHEME,INVESTNOW MERCER ALL COUNTRY GLOBAL SHARES INDEX FUND,Aggressive,0.43,15.86,9.51
INVESTNOW KIWISAVER SCHEME,INVESTNOW MERCER GLOBAL LISTED REAL ESTATE FUND,Aggressive,1.35,7.18,0.96
INVESTNOW KIWISAVER SCHEME,INVESTNOW MERCER NZ SHARES PASSIVE FUND,Aggressive,0.36,3.99,0.02
INVESTNOW KIWISAVER SCHEME,INVESTNOW MERCER RESPONSIBLE BALANCED FUND,Balanced,1.27,6.21,3.41
INVESTNOW KIWISAVER SCHEME,INVESTNOW MERCER RESPONSIBLE HEDGED GLOBAL FIXED INTEREST INDEX FUND,Defensive,0.44,1.01,-0.57
INVESTNOW KIWISAVER SCHEME,INVESTNOW MILFORD ACTIVE GROWTH FUND,Growth,1.05,7.52,
INVESTNOW KIWISAVER SCHEME,INVESTNOW MILFORD AGGRESSIVE FUND,Aggressive,1.15,6.31,
INVESTNOW KIWISAVER SCHEME,INVESTNOW MILFORD BALANCED FUND,Balanced,1.05,4.17,4.74
INVESTNOW KIWISAVER SCHEME,INVESTNOW MILFORD CONSERVATIVE FUND,Conservative,0.87,1.83,2.49
INVESTNOW KIWISAVER SCHEME,INVESTNOW MINT AUSTRALASIAN EQUITY FUND,Aggressive,1.19,-3.73,-0.3
INVESTNOW KIWISAVER SCHEME,INVESTNOW MINT DIVERSIFIED GROWTH FUND,Growth,1.2,-2.73,2.43
INVESTNOW KIWISAVER SCHEME,INVESTNOW MINT DIVERSIFIED INCOME FUND,Conservative,0.98,-0.18,1.35
INVESTNOW KIWISAVER SCHEME,INVESTNOW PATHFINDER ETHICAL GROWTH FUND,Growth,1.34,8.81,
INVESTNOW KIWISAVER SCHEME,INVESTNOW RUSSELL INVESTMENTS GLOBAL FIXED INTEREST FUND,Defensive,0.58,1.08,-0.34
