id,name,provider,type,fee,return_1yr,return_5yr,risk_band,risk_lo,risk_hi,horizon_lo,horizon_hi,ethical,has_history,history_since
166,Goalsgetter Milford Active Growth Fund,Goalsgetter KiwiSaver Scheme,Growth,1.35,6.07,,4–5,4,5,6,12,False,False,
167,Goalsgetter Milford Aggressive Fund,Goalsgetter KiwiSaver Scheme,Aggressive,1.45,,,5–7,5,7,10,40,False,False,
168,Goalsgetter Milford Balanced Fund,Goalsgetter KiwiSaver Scheme,Balanced,1.35,3.13,,3–4,3,4,4,9,False,False,
169,Goalsgetter Milford Conservative Fund,Goalsgetter KiwiSaver Scheme,Conservative,1.15,1.03,,2–3,2,3,1,4,False,False,
170,Goalsgetter Pathfinder Ethical Growth Fund,Goalsgetter KiwiSaver Scheme,Growth,1.61,6.65,,4–5,4,5,6,12,True,False,
171,Goalsgetter Salt Capital Growth Fund,Goalsgetter KiwiSaver Scheme,Growth,1.4,-0.38,,4–5,4,5,6,12,False,False,
172,Growth Fund,Christian KiwiSaver Scheme,Growth,1.5,7.56,6.88,4–5,4,5,6,12,True,False,
173,Growth Fund,Supereasy KiwiSaver Superannuation Scheme,Growth,0.5,8.91,4.83,4–5,4,5,6,12,False,False,
174,Growth Fund,Westpac KiwiSaver Scheme,Growth,0.55,10.67,4.91,4–5,4,5,6,12,False,True,2013
175,Growth Fund,Fisher Funds Two KiwiSaver Scheme,Growth,1.06,2.05,4.16,4–5,4,5,6,12,False,True,2013
176,Growth Fund,JMI Wealth KiwiSaver Scheme,Growth,1.41,7.12,4.97,4–5,4,5,6,12,False,False,
177,Growth Fund,Generate KiwiSaver Scheme,Growth,1.37,7.18,5.52,4–5,4,5,6,12,False,True,2013
178,Growth Fund,ANZ KiwiSaver Scheme,Growth,0.96,9.61,4.46,4–5,4,5,6,12,False,True,2013
179,Growth Fund,Oneanswer KiwiSaver Scheme,Growth,0.96,9.61,4.45,4–5,4,5,6,12,False,True,2013
180,Growth Fund,Evidential KiwiSaver Scheme,Growth,0.75,,,4–5,4,5,6,12,False,False,
181,Growth Fund,ASB KiwiSaver Scheme,Growth,0.7,11.16,6.18,4–5,4,5,6,12,False,True,2013
182,Growth Fund,Booster KiwiSaver Scheme,Growth,1.35,7.75,4.64,4–5,4,5,6,12,False,True,2021
183,Growth Fund,Fisher Funds KiwiSaver Scheme,Growth,1.05,1.95,3.49,4–5,4,5,6,12,False,True,2013
184,Growth Fund,New Zealand Defence Force KiwiSaver Scheme,Growth,0.88,9.96,5.07,4–5,4,5,6,12,False,True,2015
185,Growth Fund,ANZ Default KiwiSaver Scheme,Growth,0.96,9.61,4.45,4–5,4,5,6,12,False,True,2013
186,Growth Fund,MAS KiwiSaver Scheme,Growth,0.98,10.51,5.46,4–5,4,5,6,12,False,True,2021
187,Growth Fund,Simplicity KiwiSaver Scheme,Growth,0.25,10.06,6.01,4–5,4,5,6,12,False,True,2016
188,Growth Portfolio,Maritime KiwiSaver Scheme,Balanced,0.76,6.03,,3–4,3,4,4,9,False,False,
189,Growth Strategy,Koura KiwiSaver Scheme,Growth,1.12,11.87,,4–5,4,5,6,12,True,False,
190,Growth Strategy,NZ Funds KiwiSaver Scheme,Aggressive,2.11,7.81,-0.85,5–7,5,7,10,40,False,True,2013
191,Glidepath Age 40,Fisher Funds KiwiSaver Plan,Growth,1.21,2.45,,4–5,4,5,6,12,False,False,
192,Glidepath Age 75,Fisher Funds KiwiSaver Plan,Conservative,0.84,3.3,,2–3,2,3,1,4,False,False,
193,Growth Fund,Fisher Funds KiwiSaver Plan,Growth,1.13,2.82,4.27,4–5,4,5,6,12,False,False,
194,High Growth Fund,Westpac KiwiSaver Scheme,Aggressive,0.7,13.11,,5–7,5,7,10,40,False,False,
195,High Growth Fund,Evidential KiwiSaver Scheme,Aggressive,0.8,,,5–7,5,7,10,40,False,False,
196,High Growth Fund,ANZ KiwiSaver Scheme,Aggressive,0.95,11.09,,5–7,5,7,10,40,False,False,
197,High Growth Fund,Oneanswer KiwiSaver Scheme,Aggressive,0.95,11.09,,5–7,5,7,10,40,False,False,
198,High Growth Fund,Booster KiwiSaver Scheme,Aggressive,1.41,9.39,5.71,5–7,5,7,10,40,False,True,2016
199,High Growth Fund,New Zealand Defence Force KiwiSaver Scheme,Aggressive,0.94,12.11,6.08,5–7,5,7,10,40,False,True,2015
200,High Growth Fund,ANZ Default KiwiSaver Scheme,Aggressive,0.95,11.08,,5–7,5,7,10,40,False,False,
201,High Growth Fund,Simplicity KiwiSaver Scheme,Aggressive,0.25,11.74,,5–7,5,7,10,40,False,False,
202,Income Fund,Christian KiwiSaver Scheme,Defensive,0.8,1.84,0.95,1–2,1,2,0,3,True,False,
203,Income Strategy,NZ Funds KiwiSaver Scheme,Defensive,1.22,1.26,0.89,1–2,1,2,0,3,False,True,2013
204,Inflation Strategy,NZ Funds KiwiSaver Scheme,Growth,1.52,7.49,-2.29,4–5,4,5,6,12,False,True,2013
205,International Fixed Interest Fund,Oneanswer KiwiSaver Scheme,Defensive,0.49,0.99,-0.57,1–2,1,2,0,3,False,True,2013
206,International Property Fund,Oneanswer KiwiSaver Scheme,Aggressive,0.99,6.86,3.11,5–7,5,7,10,40,False,True,2013
207,International Share Fund,Oneanswer KiwiSaver Scheme,Aggressive,0.96,14.77,8.34,5–7,5,7,10,40,False,True,2013
208,Investnow Antipodes Global Value Fund,Investnow KiwiSaver Scheme,Aggressive,1.08,28.03,,5–7,5,7,10,40,False,False,
209,Investnow Castle Point 5 Oceans Fund,Investnow KiwiSaver Scheme,Balanced,1.18,9.09,3.85,3–4,3,4,4,9,False,True,2020
