source,period,fund_name,scheme,fum,members,start_date,risk_indicator,return_1yr,return_5yr_avg,fee
mercer,2025-12-31,Responsible High Growth,,,8188,2007-10-01,,10.17,7.56,0.89
mercer,2025-12-31,Responsible Moderate,,,4927,2015-02-18,,5.9,3.54,0.66
mercer,2025-12-31,Responsible Shares,,,2254,2015-02-18,,10.85,7.73,0.95
mercer,2024-06-30,Cash,,,1304,2007-10-01,,3.98,1.66,0.33
mercer,2024-06-30,Sustainable Conservative,,,24780,2007-10-01,,5.42,2.0,0.48
mercer,2024-06-30,Sustainable Plus Balanced,,,13140,2007-10-01,,7.76,4.28,0.76
mercer,2024-06-30,Sustainable Plus Growth,,,6449,2015-02-18,,9.49,5.64,0.85
mercer,2024-06-30,Sustainable Plus High Growth,,,8563,2007-10-01,,10.74,6.68,0.9
mercer,2024-06-30,Sustainable Plus Moderate,,,5576,2015-02-18,,6.28,3.07,0.66
mercer,2024-06-30,Sustainable Plus Shares,,,2285,2015-02-18,,12.19,7.11,0.96
mercer,2025-06-30,Cash,,,1257,2007-10-01,,3.34,2.16,0.32
mercer,2025-06-30,Responsible Conservative,,,22856,2007-10-01,,4.89,2.35,0.49
mercer,2025-06-30,Sustainable Balanced,,,12642,2007-10-01,,7.32,5.35,0.75
mercer,2025-06-30,Sustainable Growth,,,6266,2015-02-18,,8.22,7.04,0.84
mercer,2025-06-30,Sustainable High Growth,,,8409,2007-10-01,,9.26,8.33,0.89
mercer,2025-06-30,Sustainable Moderate,,,5178,2015-02-18,,5.96,3.76,0.66
mercer,2025-06-30,Sustainable Shares,,,2319,2015-02-18,,9.77,8.69,0.95
mercer,2025-03-31,Cash,,,1245,2007-10-01,,3.7,2.04,0.33
mercer,2025-03-31,Responsible Conservative,,,23322,2007-10-01,,3.57,2.77,0.48
mercer,2025-03-31,Sustainable Balanced,,,12757,2007-10-01,,3.92,6.1,0.76
mercer,2025-03-31,Sustainable Growth,,,6307,2015-02-18,,3.96,8.09,0.85
mercer,2025-03-31,Sustainable High Growth,,,8457,2007-10-01,,4.2,9.6,0.9
mercer,2025-03-31,Sustainable Moderate,,,5269,2015-02-18,,3.72,4.25,0.66
mercer,2025-03-31,Sustainable Shares,,,2327,2015-02-18,,4.0,10.31,0.96
mercer,2026-03-31,Cash,,,1204,2007-10-01,,2.16,2.44,0.32
mercer,2026-03-31,Responsible Balanced,,,12125,2007-10-01,,7.1,4.01,0.75
mercer,2026-03-31,Responsible Conservative,,,21398,2007-10-01,,3.77,2.18,0.49
mercer,2026-03-31,Responsible Growth,,,6062,2015-02-18,,8.62,5.06,0.84
