Fund Name,Provider,Risk Indicator,Periods,Avg Return %,Volatility (std),Return/Vol Ratio
STEPPING STONES 61-64 AND STEPPING STONES GROWTH 61-64,1.00,,5,6.31,2.29,2.76
DEFAULT FUND,0.37,,4,4.78,2.28,2.1
JUNO CONSERVATIVE FUND,0.67,,2,-7.65,2.28,-3.36
CONSERVATIVE FUND,0.45,,13,3.28,2.26,1.45
CONSERVATIVE FUND,0.84,,13,4.68,2.26,2.07
CONSERVATIVE FUND,1,,7,3.53,2.24,1.58
CONSERVATIVE FUND,0.30,,8,4.58,2.24,2.04
LIFESTAGES AUTO OPTION AGE 65+,0.61,,3,1.35,2.23,0.61
BNZ KIWISAVER BALANCED FUND,0.95,,5,8.47,2.23,3.8
NIKKO AM CONSERVATIVE FUND,0.97,,4,4.25,2.22,1.91
INVESTNOW NZ SHARES INDEX FUND,0.28,,2,-2.51,2.21,-1.14
CASH ENHANCED FUND,0.54,,4,5.38,2.21,2.43
AMP INTERNATIONAL FIXED INTEREST FUND,0.82,,7,2.09,2.18,0.96
BNZ KIWISAVER CONSERVATIVE FUND,0.58,,6,3.26,2.17,1.5
QUAYSTREET FIXED INTEREST FUND,0.63,,3,0.57,2.15,0.27
MODERATE FUND,0.94,,7,4.48,2.15,2.08
RUSSELL LIFEPOINTS® MODERATE FUND,0.67,,2,6.86,2.15,3.19
INVESTNOW SALT NZ DIVIDEND APPRECIATION FUND,0.99,,2,0.54,2.13,0.25
CONSERVATIVE FUND,0.55,,12,4.18,2.13,1.96
LIFESTAGES AUTO OPTION AGE 55+,0.71,,2,5.62,2.11,2.66
MODERATE FUND,1.07,,4,3.6,2.1,1.71
DEFAULT FUND,0.40,,8,3.98,2.09,1.9
GLIDEPATH AGE 75,0.81,,13,4.42,2.07,2.14
OPTIONS FUND,1.02,,2,6.54,2.07,3.16
RUSSELL LIFEPOINTS® TARGET DATE 2025 FUND,0.69,,2,6.79,2.06,3.3
GUARANTEED INCOME FUND,0.28,,3,6.47,2.05,3.16
LIFESTAGES INCOME FUND,0.55,,7,-0.07,2.04,-0.03
SUPERLIFE AGE STEPS - AGE 80,0.46,,5,3.13,2.01,1.56
INVESTNOW SALT ENHANCED PROPERTY FUND,0.88,,2,4.2,2.0,2.1
BNZ KIWISAVER CONSERVATIVE FUND,0.5,,3,0.56,2.0,0.28
DEFAULT,0.82,,4,3.44,2.0,1.72
CONSERVATIVE FUND,0.50,,12,3.56,2.0,1.78
RUSSELL LIFEPOINTS® CONSERVATIVE FUND,0.94,,4,2.7,1.98,1.36
RUSSELL LIFEPOINTS® TARGET DATE 2015 FUND,0.95,,4,2.68,1.98,1.35
MERCER CONSERVATIVE FUND,0.50,,12,3.96,1.96,2.02
